date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:23	81192/81192	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202020%2011:52:08%20GMT	https://freefirehack.co/diamonds-generator/	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/index.html	(from )
14:31:25	27487/27487	---M-Z	200	added ('OK')	text/css	date:Sun,%2019%20Jan%202020%2014:06:20%20GMT	https://freefirehack.co/diamonds-generator/font-awesome/4-5-0/css/font-awesome.min.css	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/font-awesome/4-5-0/css/font-awesome.min.css	(from https://freefirehack.co/diamonds-generator/)
14:31:26	13988/13988	---M-Z	200	added ('OK')	text/css	date:Sun,%2019%20Jan%202020%2014:06:36%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/sweetalert2.min.css	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/sweetalert2.min.css	(from https://freefirehack.co/diamonds-generator/)
14:31:28	121519/121519	---M-Z	200	added ('OK')	text/css	date:Sun,%2019%20Jan%202020%2014:06:34%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/bootstrap.min.css	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/bootstrap.min.css	(from https://freefirehack.co/diamonds-generator/)
14:31:28	6066/6066	---MCZ	200	added ('OK')	text/css	date:Sun,%2019%20Jan%202020%2014:06:36%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/magnific-popup.css	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/magnific-popup.css	(from https://freefirehack.co/diamonds-generator/)
14:31:29	3595/3595	---MCZ	200	added ('OK')	text/css	date:Sun,%2019%20Jan%202020%2014:06:36%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/fancySelect.css	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/fancySelect.css	(from https://freefirehack.co/diamonds-generator/)
14:31:30	56484/56484	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Nov%202020%2013:31:28%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-ihncentive-generator/template/gen/css/animate.css	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-ihncentive-generator/template/gen/css/animate.css	(from https://freefirehack.co/diamonds-generator/)
14:31:31	1602/1602	---MCZ	200	added ('OK')	text/css	date:Sun,%2019%20Jan%202020%2014:06:46%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/custom-css.css	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/custom-css.css	(from https://freefirehack.co/diamonds-generator/)
14:31:32	40462/40462	---MCZ	200	added ('OK')	text/css	date:Sun,%2019%20Jan%202020%2014:06:46%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/style.css	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/css/style.css	(from https://freefirehack.co/diamonds-generator/)
14:31:33	19671/19671	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Jan%202020%2014:06:48%20GMT	https://freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/img/verify.png	C:/Users/pc/Downloads/FREEFIRE%20GENERATOR/freefirehack.co/diamonds-generator/wp-content/plugins/ogads-incentive-generator/template/gen/img/verify.png	(from https://freefirehack.co/diamonds-generator/)
